Module                  Size  Used by
snd                   159744  21 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_pcm
k10temp                12288  0
i2c_smbus              20480  1 i2c_piix4
mousedev               28672  0
soundcore              20480  1 snd
rfkill                 45056  10 acer_wmi,iwlmvm,bluetooth,cfg80211
snd_pci_acp3x          20480  0
joydev                 28672  0
libphy                188416  6 r8169,mdio_devres,fwnode_mdio,of_mdio,realtek,fixed_phy
mdio_bus               65536  4 r8169,libphy,of_mdio,realtek
thermal                28672  0
rtc_cmos               28672  1
video                  81920  2 acer_wmi,amdgpu
acer_wireless          16384  0
xt_conntrack           12288  2
input_leds             16384  0
nf_conntrack          200704  3 xt_conntrack,nf_nat,xt_MASQUERADE
led_class              24576  6 snd_hda_codec_generic,videodev,input_leds,libphy,acer_wmi,iwlmvm
mac_hid                16384  0
nf_defrag_ipv6         24576  1 nf_conntrack
i2c_hid_acpi           12288  0
tiny_power_button      12288  0
battery                28672  0
nf_defrag_ipv4         12288  1 nf_conntrack
tpm_crb                28672  0
i2c_hid                45056  1 i2c_hid_acpi
button                 28672  0
ac                     16384  0
tpm_tis                16384  0
wmi                    36864  3 video,acer_wmi,wmi_bmof
tpm_tis_core           36864  1 tpm_tis
serio_raw              20480  0
ip6t_rpfilter          12288  1
ipt_rpfilter           12288  1
xt_pkttype             12288  2
xt_LOG                 16384  2
nf_log_syslog          24576  2
xt_tcpudp              16384  3
nft_compat             28672  15
x_tables               53248  9 xt_conntrack,ip6t_rpfilter,nft_compat,xt_LOG,xt_tcpudp,ipt_rpfilter,xt_pkttype,xt_MASQUERADE,xt_mark
nf_tables             401408  215 nft_compat,nft_chain_nat
sch_fq_codel           28672  3
uinput                 24576  1
loop                   49152  0
kvm_amd               245760  0
ccp                   192512  1 kvm_amd
sha1                   16384  1 ccp
kvm                  1413120  1 kvm_amd
irqbypass              16384  1 kvm
fuse                  258048  3
efi_pstore             16384  0
configfs               69632  1
nfnetlink              24576  3 nft_compat,nf_tables
efivarfs               40960  1
tpm                   122880  3 tpm_tis,tpm_crb,tpm_tis_core
rng_core               24576  2 ccp,tpm
dmi_sysfs              28672  0
autofs4                65536  0
ext4                 1163264  1
crc16                  12288  3 bluetooth,amdgpu,ext4
mbcache                20480  1 ext4
jbd2                  200704  1 ext4
hid_generic            12288  0
usbhid                 90112  0
hid                   286720  5 i2c_hid,usbhid,snd_soc_sdca,hid_generic,uhid
ahci                   57344  0
atkbd                  40960  0
libahci                69632  1 ahci
libps2                 24576  1 atkbd
vivaldi_fmap           12288  1 atkbd
libata                491520  2 libahci,ahci
nvme                   73728  3
xhci_pci               28672  0
nvme_core             270336  4 nvme
xhci_hcd              425984  1 xhci_pci
i8042                  57344  1 acer_wmi
scsi_mod              339968  2 sd_mod,libata
serio                  32768  4 serio_raw,atkbd,i8042
nvme_keyring           20480  1 nvme_core
nvme_auth              32768  1 nvme_core
scsi_common            16384  3 scsi_mod,sd_mod,libata
hkdf                   12288  1 nvme_auth
dm_mod                229376  0
dax                    53248  1 dm_mod
